dimension,metric,n,completeness_pct,mean,std,median,iqr,skewness,kurtosis,outlier_rate_pct,seed_stability_cv,high_var_configs_pct
fluency,pseudo_ppl,57,100.0,2.321,0.3762,2.212,0.4162,1.4984,3.243,3.51,0.0724,0.0
fluency,err_per_100w,57,100.0,0.4684,1.1132,0.1898,0.1351,4.6299,21.3881,12.28,0.5934,88.89
diversity,distinct_avg,57,100.0,0.6379,0.0242,0.6347,0.0395,0.6661,-0.1992,0.0,0.0204,0.0
diversity,self_bleu_group,54,94.7,0.1277,0.0531,0.1333,0.0786,0.0535,-0.3301,0.0,0.2735,44.44
diversity,one_minus_self_bleu,54,94.7,0.8723,0.0531,0.8667,0.0786,-0.0535,-0.3301,0.0,0.0362,0.0
coherence,avg_semantic_continuity,57,100.0,0.3967,0.0471,0.4167,0.0576,-1.5898,2.2301,5.26,0.0403,0.0
emotion,roberta_avg_score,57,100.0,0.1397,0.2553,0.1342,0.3659,0.0388,-0.9194,0.0,2.0759,88.89
emotion,emotion_correlation,57,100.0,0.3046,0.3927,0.3649,0.5647,-0.5166,-0.5965,0.0,2.8816,94.44
structure,tp_completion_rate,57,100.0,1.0,0.0,1.0,0.0,,,0.0,0.0,0.0
structure,li_function_diversity,57,100.0,8.6491,1.0435,9.0,1.0,-0.9726,1.5367,3.51,0.1104,11.11
efficiency,cost_usd,57,100.0,1.1664,0.539,1.0885,0.6728,0.1788,0.0379,1.75,0.3308,88.89
efficiency,wall_time_sec,57,100.0,604.8066,492.531,528.5498,285.1518,4.5579,26.549,5.26,0.3842,94.44
efficiency,tokens_total,57,100.0,75925.3333,36635.3393,70667.0,43572.0,0.2833,0.0199,1.75,0.3458,88.89
