Role,丽萨,丽萨,丽萨,丽萨,丽萨,丽萨,亨利,亨利,亨利,亨利,亨利,亨利,亨利,亨利,亨利,亨利,亨利,亨利,亨利,克拉克,克拉克,克拉克,克拉克,克拉克,克拉克,克拉克,奥斯卡,奥斯卡,奥斯卡,奥斯卡,奥斯卡,奥斯卡,奥斯卡,奥斯卡,奥斯卡,奥斯卡,玛丽莲,玛丽莲,玛丽莲,玛丽莲,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,艾莉丝,菲奥娜,菲奥娜,菲奥娜,菲奥娜,菲奥娜,菲奥娜,贝拉,贝拉,贝拉,贝拉,贝拉,贝拉,贝拉,贝拉
State,专业,关怀,支持,激励,自信,鼓励,受到鼓舞,困惑,寻求真实感,希望,惊讶,愿意帮助,支持,期待,自信,赞美,赞赏,钦佩,鼓励,信任,反思,哲思,寻找快乐,建议,支持,暗示,乐观,幽默,支持,旁观,期待,欣赏,肯定,认可,鼓励,鼓舞,信任,批判,支持,现实,不确定,充满力量,关心,决心,努力,坚定,感激,期待,激动,积极,紧张,自信,被赞美,鼓舞,关心,建议,提醒,支持,深思,鼓励,不屑,享受生活,关心,劝告,怀疑,提醒,警告,讽刺
Chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapter 1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chapter 2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
Chapter 3,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1
Chapter 4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
Chapter 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Chapter 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chapter 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chapter 8,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
Chapter 9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
