config,structure,temperature,dimension,mean_score,std_score,n_ratings
linear_T0.3,linear,0.3,Character Consistency,3.6,0.699,10
linear_T0.3,linear,0.3,Coherence,3.8,1.229,10
linear_T0.3,linear,0.3,Creativity_Originality,3.7,0.675,10
linear_T0.3,linear,0.3,Emotional Development,3.7,0.823,10
linear_T0.3,linear,0.3,Language Fluency,3.7,0.949,10
linear_T0.3,linear,0.3,Overall Quality,3.6,0.516,10
linear_T0.3,linear,0.3,Structural Completeness,3.8,1.135,10
linear_T0.7,linear,0.7,Character Consistency,3.4,0.843,10
linear_T0.7,linear,0.7,Coherence,3.3,0.675,10
linear_T0.7,linear,0.7,Creativity_Originality,3.7,0.823,10
linear_T0.7,linear,0.7,Emotional Development,3.2,0.789,10
linear_T0.7,linear,0.7,Language Fluency,3.6,0.699,10
linear_T0.7,linear,0.7,Overall Quality,3.4,0.516,10
linear_T0.7,linear,0.7,Structural Completeness,3.5,0.85,10
linear_T0.9,linear,0.9,Character Consistency,3.7,0.675,10
linear_T0.9,linear,0.9,Coherence,3.7,0.823,10
linear_T0.9,linear,0.9,Creativity_Originality,3.7,0.823,10
linear_T0.9,linear,0.9,Emotional Development,4.1,0.738,10
linear_T0.9,linear,0.9,Language Fluency,3.8,0.632,10
linear_T0.9,linear,0.9,Overall Quality,3.9,0.568,10
linear_T0.9,linear,0.9,Structural Completeness,3.8,0.422,10
nonlinear_T0.3,nonlinear,0.3,Character Consistency,3.5,0.85,10
nonlinear_T0.3,nonlinear,0.3,Coherence,3.7,0.483,10
nonlinear_T0.3,nonlinear,0.3,Creativity_Originality,3.3,0.823,10
nonlinear_T0.3,nonlinear,0.3,Emotional Development,3.2,0.919,10
nonlinear_T0.3,nonlinear,0.3,Language Fluency,3.4,0.699,10
nonlinear_T0.3,nonlinear,0.3,Overall Quality,3.3,0.483,10
nonlinear_T0.3,nonlinear,0.3,Structural Completeness,3.1,0.738,10
nonlinear_T0.7,nonlinear,0.7,Character Consistency,3.2,0.789,10
nonlinear_T0.7,nonlinear,0.7,Coherence,3.1,0.738,10
nonlinear_T0.7,nonlinear,0.7,Creativity_Originality,4.1,0.738,10
nonlinear_T0.7,nonlinear,0.7,Emotional Development,3.2,0.919,10
nonlinear_T0.7,nonlinear,0.7,Language Fluency,3.3,0.483,10
nonlinear_T0.7,nonlinear,0.7,Overall Quality,3.4,0.516,10
nonlinear_T0.7,nonlinear,0.7,Structural Completeness,3.3,0.675,10
nonlinear_T0.9,nonlinear,0.9,Character Consistency,3.5,0.707,10
nonlinear_T0.9,nonlinear,0.9,Coherence,3.7,0.823,10
nonlinear_T0.9,nonlinear,0.9,Creativity_Originality,3.8,1.033,10
nonlinear_T0.9,nonlinear,0.9,Emotional Development,3.6,1.174,10
nonlinear_T0.9,nonlinear,0.9,Language Fluency,3.5,0.707,10
nonlinear_T0.9,nonlinear,0.9,Overall Quality,3.7,0.483,10
nonlinear_T0.9,nonlinear,0.9,Structural Completeness,3.7,0.823,10
