story_id,bt_score,weighted_wins,weighted_losses,total_weight,weighted_win_rate,confidence,rank
linear_T0.9_s3,11.25,11.25,0.0,11.25,1.0,1.0,1
linear_T0.7_s2,7.5,7.5,0.0,7.5,1.0,0.75,2
nonlinear_T0.7_s3,7.5,7.5,0.0,7.5,1.0,0.75,3
linear_T0.3_s3,7.5,7.5,0.0,7.5,1.0,0.75,4
nonlinear_T0.9_s3,6.1875,6.625,0.875,7.5,0.8833333333333333,0.75,5
nonlinear_T0.7_s2,5.8125,7.625,3.625,11.25,0.6777777777777778,1.0,6
nonlinear_T0.9_s1,4.625,6.5,3.75,10.25,0.6341463414634146,1.0,7
linear_T0.7_s3,3.9375,5.75,3.625,9.375,0.6133333333333333,0.9375,8
linear_T0.9_s2,2.4375,4.125,3.375,7.5,0.55,0.75,9
linear_T0.3_s2,1.9375,3.5,3.125,6.625,0.5283018867924528,0.6625,10
nonlinear_T0.3_s2,1.4375,4.375,5.875,10.25,0.4268292682926829,1.0,11
baseline,0.5,18.5,36.0,54.5,0.3394495412844037,1.0,12
linear_T0.7_s1,-0.6875,1.75,4.875,6.625,0.2641509433962264,0.6625,13
nonlinear_T0.7_s1,-1.125,1.75,5.75,7.5,0.23333333333333334,0.75,14
nonlinear_T0.9_s2,-1.125,1.75,5.75,7.5,0.23333333333333334,0.75,15
nonlinear_T0.3_s1,-1.3125,1.625,5.875,7.5,0.21666666666666667,0.75,16
linear_T0.9_s1,-1.3125,1.625,5.875,7.5,0.21666666666666667,0.75,17
nonlinear_T0.3_s3,-1.5,1.5,6.0,7.5,0.2,0.75,18
linear_T0.3_s1,-2.1875,2.0,8.375,10.375,0.1927710843373494,1.0,19
