folder_name,genre,structure,temperature,seed,total_words,total_sentences,distinct_1,distinct_2,distinct_avg,distinct_score
thelittleredridinghood_horror-suspenserewrite_linear_T0.3_s1,horror,linear,0.3,1,9089,493,0.4115329115329115,0.8078888888888889,0.6097109002109002,0.013896563989008105
thelittleredridinghood_horror-suspenserewrite_linear_T0.3_s2,horror,linear,0.3,2,11435,608,0.41808191808191814,0.8301818181818184,0.6241318681318683,0.41312710076493553
thelittleredridinghood_horror-suspenserewrite_linear_T0.3_s3,horror,linear,0.3,3,11975,623,0.4107197150675411,0.8134782608695652,0.6120989879685532,0.08000846178815538
thelittleredridinghood_horror-suspenserewrite_linear_T0.7_s1,horror,linear,0.7,1,15356,855,0.4168165168165169,0.8232999999999999,0.6200582584082583,0.3003531589958965
thelittleredridinghood_horror-suspenserewrite_linear_T0.7_s2,horror,linear,0.7,2,4085,248,0.43306693306693306,0.8385,0.6357834665334665,0.7356903232657004
thelittleredridinghood_horror-suspenserewrite_linear_T0.7_s3,horror,linear,0.7,3,11934,633,0.4098944533727142,0.8101739130434784,0.6100341832080963,0.022846340814561123
thelittleredridinghood_horror-suspenserewrite_linear_T0.9_s1,horror,linear,0.9,1,11159,584,0.40750158931977115,0.8052272727272727,0.6063644310235219,0.0
thelittleredridinghood_horror-suspenserewrite_linear_T0.9_s2,horror,linear,0.9,2,7287,410,0.42329099471956616,0.8363571428571429,0.6298240687883545,0.5707101656451423
thelittleredridinghood_horror-suspenserewrite_linear_T0.9_s3,horror,linear,0.9,3,6954,377,0.4112041804349497,0.8223846153846155,0.6167943979097826,0.20999634065268388
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.3_s1,horror,nonlinear,0.3,1,12109,650,0.4110472860472861,0.8189166666666666,0.6149819763569764,0.15982120446511724
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.3_s2,horror,nonlinear,0.3,2,6848,371,0.4309536617228925,0.8336923076923077,0.6323229847076002,0.6398902338115647
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.3_s3,horror,nonlinear,0.3,3,5790,310,0.43265825084006904,0.8367272727272727,0.6346927617836708,0.7054952181166316
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.7_s1,horror,nonlinear,0.7,1,13351,686,0.424652270806117,0.8245384615384614,0.6245953661722892,0.4259585953279859
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.7_s2,horror,nonlinear,0.7,2,3769,218,0.4535464535464535,0.8627142857142858,0.6581303696303696,1.0
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.7_s3,horror,nonlinear,0.7,3,10637,584,0.4110175538746968,0.814952380952381,0.6129849674135389,0.10453594505644452
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.9_s1,horror,nonlinear,0.9,1,6505,357,0.40912933220625525,0.8128461538461538,0.6109877430262045,0.049244721292043804
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.9_s2,horror,nonlinear,0.9,2,6076,311,0.4391441891441892,0.847,0.6430720945720946,0.9374689348102596
thelittleredridinghood_horror-suspenserewrite_nonlinear_T0.9_s3,horror,nonlinear,0.9,3,10438,547,0.41903096903096904,0.8154999999999999,0.6172654845154845,0.22303791729947994
